"N_total","T_total","predictor.type","outcome.type","sdX.within","sdX.between","g.00","g.10","sd.u0","sd.u1","sd.e","true_cluster_means","l2_g.10_bias","l3a_g.10_bias","l4_g.10_bias","g.exchangeable2_g.10_bias","g.exchangeable3_g.10_bias","g.exchangeable4_g.10_bias","g.ar12_g.10_bias","g.ar13_g.10_bias","g.ar14_g.10_bias","g.independence2_g.10_bias","g.independence3_g.10_bias","g.independence4_g.10_bias","l1_success","l2_success","l3a_success","l4_success","g.independence1_success","g.exchangeable1_success","g.ar11_success","g.independence2_success","g.exchangeable2_success","g.ar12_success","g.independence3_success","g.ar13_success","g.independence4_success","g.exchangeable4_success","g.ar14_success"
200,20,"binary","continuous",1,3,0,1.5,0,0,1,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"binary","binary",1,1,0,1.5,0,0,1,FALSE,-0.104,0.046,0.047,-0.247,0.018,0.018,-0.255,0.019,0.019,-0.264,0.019,0.019,0.975,0.997,0.984,0.984,1,1,1,1,1,1,1,1,1,1,1
200,5,"binary","binary",1,1,0,1.5,0,0,1,FALSE,-0.117,0.009,0.01,-0.261,-0.011,-0.011,-0.268,-0.011,-0.011,-0.279,-0.011,-0.011,0.963,0.998,0.961,0.962,1,1,1,1,1,1,1,1,1,1,1
100,10,"binary","binary",1,1,0,1.5,0,0,1,FALSE,-0.09,0.009,0.01,-0.249,-0.006,-0.006,-0.261,-0.006,-0.006,-0.268,-0.006,-0.006,0.931,0.989,0.974,0.975,1,1,1,1,1,1,1,1,1,1,1
200,10,"binary","binary",1,1,0,1.5,0,0,1,FALSE,-0.085,0.011,0.012,-0.246,-0.004,-0.004,-0.257,-0.004,-0.004,-0.265,-0.004,-0.004,0.905,1,0.981,0.981,1,1,1,1,1,1,1,1,1,1,1
100,20,"binary","binary",1,1,0,1.5,0,0,1,FALSE,-0.062,0.005,0.005,-0.241,-0.005,-0.005,-0.254,-0.005,-0.005,-0.26,-0.005,-0.005,0.966,0.671,0.999,0.999,1,1,1,1,1,1,1,1,1,1,1
200,20,"binary","binary",1,1,0,1.5,0,0,1,FALSE,-0.07,0,0,-0.245,-0.01,-0.01,-0.257,-0.01,-0.01,-0.264,-0.01,-0.01,0.974,0.726,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"continuous","binary",1,1,0,1.5,0,0,1,FALSE,-0.071,0.026,0.026,-1,-0.248,-0.248,-1,-0.247,-0.247,-1,-0.245,-0.245,1,0.996,0.999,0.999,1,1,1,1,1,1,1,1,1,1,1
200,5,"continuous","binary",1,1,0,1.5,0,0,1,FALSE,-0.079,0.017,0.017,-1.003,-0.264,-0.264,-1.002,-0.263,-0.263,-1.003,-0.261,-0.261,1,1,0.997,0.997,1,1,1,1,1,1,1,1,1,1,1
100,10,"continuous","binary",1,1,0,1.5,0,0,1,FALSE,-0.018,0.01,0.01,-1,-0.159,-0.159,-1,-0.158,-0.158,-1,-0.157,-0.157,1,0.964,0.988,0.987,1,1,1,1,1,1,1,1,1,1,1
200,10,"continuous","binary",1,1,0,1.5,0,0,1,FALSE,-0.027,0.005,0.005,-0.999,-0.165,-0.165,-0.999,-0.163,-0.163,-0.999,-0.163,-0.163,1,0.994,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"continuous","binary",1,1,0,1.5,0,0,1,FALSE,-0.045,0.001,0,-0.996,-0.094,-0.094,92226646926935.3,-0.092,-0.092,-0.996,-0.092,-0.092,1,0.738,0.912,0.906,1,1,1,1,1,1,1,1,1,1,1
200,20,"continuous","binary",1,1,0,1.5,0,0,1,FALSE,-0.025,0.005,0.005,-0.998,-0.09,-0.09,71982217089391.4,-0.089,-0.089,-0.999,-0.089,-0.089,1,0.842,0.826,0.819,1,1,1,1,1,1,1,1,1,1,1
100,5,"binary","continuous",1,1,0,1.5,0,0,1,FALSE,0.008,0.008,0.008,0.008,0.008,0.008,0.006,0.007,0.007,0.008,0.008,0.008,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,5,"binary","continuous",1,1,0,1.5,0,0,1,FALSE,-0.003,-0.003,-0.003,-0.003,-0.003,-0.003,-0.003,-0.003,-0.003,-0.003,-0.003,-0.003,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
