"N_total","T_total","predictor.type","outcome.type","sdX.within","sdX.between","g.00","g.01","sd.u0","sd.u1","sd.e","true_cluster_means","l3a_g.01_bias","l4_g.01_bias","g.exchangeable3_g.01_bias","g.exchangeable4_g.01_bias","g.ar13_g.01_bias","g.ar14_g.01_bias","g.independence3_g.01_bias","g.independence4_g.01_bias","l1_success","l2_success","l3a_success","l4_success","g.independence1_success","g.exchangeable1_success","g.ar11_success","g.independence2_success","g.exchangeable2_success","g.ar12_success","g.independence3_success","g.ar13_success","g.independence4_success","g.exchangeable4_success","g.ar14_success"
200,5,"continuous","binary",1,3,0,0,1,0,1,TRUE,0.01,0.022,-0.179,0.019,-0.178,0.018,-0.176,0.017,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"continuous","binary",1,3,0,0,1,0,1,TRUE,-0.002,-0.007,-0.211,-0.009,-0.202,-0.004,-0.2,-0.004,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"continuous","binary",1,3,0,0,1,0,1,TRUE,0.009,0.008,-0.199,0,-0.191,0.003,-0.189,0.004,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"binary","continuous",1,3,0,0,1,0,1,TRUE,-0.026,-0.035,-0.026,-0.035,-0.024,-0.032,-0.026,-0.041,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,5,"binary","continuous",1,3,0,0,1,0,1,TRUE,0.001,-0.002,0.001,-0.002,-0.004,-0.013,0.001,0.002,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"binary","continuous",1,3,0,0,1,0,1,TRUE,0.015,0.017,0.015,0.017,0.021,0.022,0.015,0.02,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"binary","continuous",1,3,0,0,1,0,1,TRUE,0.001,-0.008,0.001,-0.008,0.014,0.004,0.001,-0.007,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"continuous","continuous",1,3,0,0,1,0,1,TRUE,0.001,-0.001,0.001,-0.001,0.001,-0.001,0.001,-0.008,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,5,"continuous","continuous",1,3,0,0,1,0,1,TRUE,-0.002,-0.006,-0.002,-0.006,-0.003,-0.006,-0.002,-0.006,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"continuous","continuous",1,3,0,0,1,0,1,TRUE,0.003,-0.001,0.003,-0.001,0.004,-0.001,0.003,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"continuous","continuous",1,3,0,0,1,0,1,TRUE,-0.003,-0.003,-0.003,-0.003,-0.001,-0.001,-0.003,-0.002,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"binary","binary",1,1,0,1,1,0,1,TRUE,-0.038,-0.027,-0.407,-0.186,-0.407,-0.175,-0.404,-0.18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,5,"binary","binary",1,1,0,1,1,0,1,TRUE,-0.018,-0.023,-0.37,-0.166,-0.374,-0.179,-0.372,-0.165,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"binary","binary",1,1,0,1,1,0,1,TRUE,-0.036,-0.027,-0.407,-0.176,-0.4,-0.171,-0.4,-0.164,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
