"N_total","T_total","predictor.type","outcome.type","sdX.within","sdX.between","g.00","g.01","g.10","sd.u0","sd.u1","sd.e","true_cluster_means","l2_g.10_bias","l3a_g.10_bias","l3a_g.01_bias","l4_g.10_bias","l4_g.01_bias","g.exchangeable2_g.10_bias","g.exchangeable3_g.10_bias","g.exchangeable3_g.01_bias","g.exchangeable4_g.10_bias","g.exchangeable4_g.01_bias","g.ar12_g.10_bias","g.ar13_g.10_bias","g.ar13_g.01_bias","g.ar14_g.10_bias","g.ar14_g.01_bias","g.independence2_g.10_bias","g.independence3_g.10_bias","g.independence3_g.01_bias","g.independence4_g.10_bias","g.independence4_g.01_bias"
100,20,"continuous","binary",1,3,0,1,1.5,0,0,1,FALSE,-0.035,0.025,0.014,0.025,-0.011,-1.183,0.011,-0.009,0.011,-0.02,61607967786716.8,0.011,-0.008,0.011,-0.019,-1.183,0.011,-0.008,0.011,-0.019
200,20,"continuous","binary",1,3,0,1,1.5,0,0,1,FALSE,-0.049,0.006,0.022,0.006,0.015,-1.188,-0.007,-0.002,-0.007,0.005,33184450709583,-0.007,-0.002,-0.007,0.004,-1.188,-0.007,-0.002,-0.007,0.004
100,5,"binary","continuous",1,3,0,1,1.5,0,0,1,FALSE,0.001,0.001,-0.109,0.001,-0.11,0.001,0.001,-0.109,0.001,-0.11,-0.006,0,-0.11,0,-0.11,0.001,0.001,-0.109,0.001,-0.11
200,5,"binary","continuous",1,3,0,1,1.5,0,0,1,FALSE,0.003,0.003,-0.141,0.003,-0.144,0.003,0.003,-0.141,0.003,-0.144,0.016,0.003,-0.141,0.003,-0.144,0.003,0.003,-0.141,0.003,-0.144
100,20,"binary","continuous",1,3,0,1,1.5,0,0,1,FALSE,0.002,0.002,-0.046,0.002,-0.048,0.002,0.002,-0.046,0.002,-0.048,0.002,0.002,-0.046,0.002,-0.048,0.002,0.002,-0.046,0.002,-0.048
200,20,"binary","continuous",1,3,0,1,1.5,0,0,1,FALSE,0.007,0.007,-0.053,0.007,-0.06,0.007,0.007,-0.053,0.007,-0.06,0.007,0.007,-0.053,0.007,-0.06,0.007,0.007,-0.053,0.007,-0.06
100,5,"continuous","continuous",1,3,0,1,1.5,0,0,1,FALSE,-0.004,-0.004,-0.025,-0.004,-0.021,-0.004,-0.004,-0.025,-0.004,-0.021,-0.005,-0.005,-0.024,-0.005,-0.02,-0.004,-0.004,-0.025,-0.004,-0.021
200,5,"continuous","continuous",1,3,0,1,1.5,0,0,1,FALSE,0.003,0.003,-0.021,0.003,-0.023,0.003,0.003,-0.021,0.003,-0.023,0.001,0.002,-0.021,0.002,-0.023,0.003,0.003,-0.021,0.003,-0.023
100,20,"continuous","continuous",1,3,0,1,1.5,0,0,1,FALSE,0,0,-0.006,0,-0.006,0,0,-0.006,0,-0.006,-0.001,0,-0.006,0,-0.006,0,0,-0.006,0,-0.006
200,20,"continuous","continuous",1,3,0,1,1.5,0,0,1,FALSE,-0.002,-0.002,-0.008,-0.002,-0.006,-0.002,-0.002,-0.008,-0.002,-0.006,-0.002,-0.002,-0.008,-0.002,-0.006,-0.002,-0.002,-0.008,-0.002,-0.006
100,5,"binary","binary",1,0,0,0,1.5,1,0,1,FALSE,0.027,0.007,-0.085,0.007,-0.092,-0.214,-0.214,-0.295,-0.214,-0.081,-0.212,-0.212,-0.295,-0.212,-0.083,-0.209,-0.213,-0.296,-0.213,-0.082
200,5,"binary","binary",1,0,0,0,1.5,1,0,1,FALSE,0.034,0.013,0.05,0.012,0.037,-0.224,-0.222,-0.19,-0.222,0.031,-0.22,-0.219,-0.189,-0.219,0.03,-0.217,-0.222,-0.192,-0.222,0.03
100,20,"binary","binary",1,0,0,0,1.5,1,0,1,FALSE,0.009,0.007,-0.201,0.007,-0.208,-0.234,-0.232,-0.4,-0.232,-0.168,-0.234,-0.233,-0.404,-0.233,-0.171,-0.231,-0.232,-0.4,-0.232,-0.168
200,20,"binary","binary",1,0,0,0,1.5,1,0,1,FALSE,0.001,-0.001,-0.041,-0.001,-0.04,-0.244,-0.243,-0.265,-0.243,-0.023,-0.244,-0.244,-0.264,-0.244,-0.021,-0.241,-0.243,-0.266,-0.243,-0.023
100,5,"continuous","binary",1,0,0,0,1.5,1,0,1,FALSE,0.019,0.015,0.008,0.015,-0.007,-0.299,-0.218,-0.222,-0.218,-0.004,-0.299,-0.217,-0.217,-0.217,-0.001,-0.3,-0.218,-0.219,-0.218,-0.001
200,5,"continuous","binary",1,0,0,0,1.5,1,0,1,FALSE,-0.027,-0.028,-0.04,-0.028,-0.012,-0.307,-0.228,-0.241,-0.228,-0.013,-0.309,-0.23,-0.24,-0.23,-0.01,-0.307,-0.229,-0.238,-0.229,-0.009
100,20,"continuous","binary",1,0,0,0,1.5,1,0,1,FALSE,0.008,0.008,-0.061,0.008,-0.069,-0.238,-0.216,-0.286,-0.216,-0.07,-0.239,-0.217,-0.274,-0.217,-0.057,-0.238,-0.216,-0.268,-0.216,-0.052
200,20,"continuous","binary",1,0,0,0,1.5,1,0,1,FALSE,-0.009,-0.01,0.028,-0.01,0.038,-0.258,-0.236,-0.214,-0.236,0.022,-0.257,-0.235,-0.205,-0.235,0.03,-0.257,-0.235,-0.203,-0.235,0.032
100,5,"binary","continuous",1,0,0,0,1.5,1,0,1,FALSE,-0.002,-0.002,0.051,-0.002,0.053,-0.002,-0.002,0.051,-0.002,0.053,0.007,0.007,0.04,0.007,0.033,-0.002,-0.002,0.051,-0.002,0.053
200,5,"binary","continuous",1,0,0,0,1.5,1,0,1,FALSE,-0.004,-0.004,0.024,-0.004,0.027,-0.004,-0.004,0.024,-0.004,0.027,-0.006,-0.006,0.015,-0.006,0.021,-0.004,-0.004,0.024,-0.004,0.027
100,20,"binary","continuous",1,0,0,0,1.5,1,0,1,FALSE,-0.007,-0.007,0.076,-0.007,0.084,-0.007,-0.007,0.076,-0.007,0.084,-0.008,-0.008,0.101,-0.008,0.109,-0.007,-0.007,0.076,-0.007,0.084
200,20,"binary","continuous",1,0,0,0,1.5,1,0,1,FALSE,0.004,0.004,-0.041,0.004,-0.045,0.004,0.004,-0.041,0.004,-0.045,0.008,0.007,-0.02,0.007,-0.027,0.004,0.004,-0.041,0.004,-0.045
100,5,"continuous","continuous",1,0,0,0,1.5,1,0,1,FALSE,-0.004,-0.004,-0.022,-0.004,-0.017,-0.004,-0.004,-0.022,-0.004,-0.017,-0.004,-0.004,-0.029,-0.004,-0.024,-0.004,-0.004,-0.022,-0.004,-0.017
200,5,"continuous","continuous",1,0,0,0,1.5,1,0,1,FALSE,0,0,0.009,0,0.009,0,0,0.009,0,0.009,0.001,0.001,0.016,0.001,0.015,0,0,0.009,0,0.009
100,20,"continuous","continuous",1,0,0,0,1.5,1,0,1,FALSE,-0.001,-0.001,-0.082,-0.001,-0.082,-0.001,-0.001,-0.082,-0.001,-0.082,0.001,0.001,-0.097,0.001,-0.098,-0.001,-0.001,-0.082,-0.001,-0.082
200,20,"continuous","continuous",1,0,0,0,1.5,1,0,1,FALSE,0.001,0.001,0.006,0.001,0.005,0.001,0.001,0.006,0.001,0.005,-0.001,-0.001,0.023,-0.001,0.024,0.001,0.001,0.006,0.001,0.005
100,5,"binary","binary",1,1,0,0,1.5,1,0,1,FALSE,0.029,-0.011,0.155,-0.011,0.166,-0.238,-0.233,-0.097,-0.233,0.136,-0.24,-0.236,-0.1,-0.236,0.136,-0.231,-0.234,-0.097,-0.234,0.137
200,5,"binary","binary",1,1,0,0,1.5,1,0,1,FALSE,0.049,0.015,-0.05,0.015,-0.065,-0.212,-0.211,-0.258,-0.211,-0.047,-0.209,-0.21,-0.262,-0.21,-0.052,-0.206,-0.212,-0.259,-0.212,-0.047
100,20,"binary","binary",1,1,0,0,1.5,1,0,1,FALSE,0.024,0.015,0.074,0.015,0.06,-0.235,-0.229,-0.174,-0.229,0.055,-0.234,-0.232,-0.177,-0.232,0.055,-0.223,-0.229,-0.177,-0.229,0.052
200,20,"binary","binary",1,1,0,0,1.5,1,0,1,FALSE,0.011,0.002,-0.024,0.002,-0.026,-0.243,-0.239,-0.255,-0.239,-0.016,-0.238,-0.239,-0.257,-0.239,-0.019,-0.231,-0.239,-0.256,-0.239,-0.017
