"N_total","T_total","predictor.type","outcome.type","sdX.within","sdX.between","g.00","g.10","sd.u0","sd.u1","sd.e","true_cluster_means","l2_g.10_bias","l3a_g.10_bias","l4_g.10_bias","g.exchangeable2_g.10_bias","g.exchangeable3_g.10_bias","g.exchangeable4_g.10_bias","g.ar12_g.10_bias","g.ar13_g.10_bias","g.ar14_g.10_bias","g.independence2_g.10_bias","g.independence3_g.10_bias","g.independence4_g.10_bias"
100,20,"binary","continuous",1,0,0,1.5,1,0,1,FALSE,-0.007,-0.007,-0.007,-0.007,-0.007,-0.007,-0.008,-0.008,-0.008,-0.007,-0.007,-0.007
200,20,"binary","continuous",1,0,0,1.5,1,0,1,FALSE,0.004,0.004,0.004,0.004,0.004,0.004,0.008,0.007,0.007,0.004,0.004,0.004
100,5,"continuous","continuous",1,0,0,1.5,1,0,1,FALSE,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004
200,5,"continuous","continuous",1,0,0,1.5,1,0,1,FALSE,0,0,0,0,0,0,0.001,0.001,0.001,0,0,0
100,20,"continuous","continuous",1,0,0,1.5,1,0,1,FALSE,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,0.001,0.001,0.001,-0.001,-0.001,-0.001
200,20,"continuous","continuous",1,0,0,1.5,1,0,1,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,-0.001,-0.001,-0.001,0.001,0.001,0.001
100,5,"binary","binary",1,1,0,1.5,1,0,1,FALSE,0.029,-0.011,-0.011,-0.238,-0.233,-0.233,-0.24,-0.236,-0.236,-0.231,-0.234,-0.234
200,5,"binary","binary",1,1,0,1.5,1,0,1,FALSE,0.049,0.015,0.015,-0.212,-0.211,-0.211,-0.209,-0.21,-0.21,-0.206,-0.212,-0.212
100,20,"binary","binary",1,1,0,1.5,1,0,1,FALSE,0.024,0.015,0.015,-0.235,-0.229,-0.229,-0.234,-0.232,-0.232,-0.223,-0.229,-0.229
200,20,"binary","binary",1,1,0,1.5,1,0,1,FALSE,0.011,0.002,0.002,-0.243,-0.239,-0.239,-0.238,-0.239,-0.239,-0.231,-0.239,-0.239
100,5,"continuous","binary",1,1,0,1.5,1,0,1,FALSE,-0.022,-0.021,-0.021,-0.551,-0.225,-0.225,-0.55,-0.224,-0.224,-0.551,-0.223,-0.223
200,5,"continuous","binary",1,1,0,1.5,1,0,1,FALSE,-0.014,-0.021,-0.021,-0.547,-0.231,-0.231,-0.547,-0.231,-0.231,-0.547,-0.231,-0.231
100,20,"continuous","binary",1,1,0,1.5,1,0,1,FALSE,0.012,0.011,0.011,-0.504,-0.207,-0.207,-0.51,-0.208,-0.208,-0.503,-0.205,-0.205
